pwsid,supply_name,county,year,lines_replaced
MI0002080,"ELBERTA, VILLAGE OF",BENZIE,2023,36
MI0002170,ESCANABA,DELTA,2023,240
MI0002180,"ESSEXVILLE, CITY OF",BAY,2023,74
MI0002190,"EVART, CITY OF",OSCEOLA,2023,2
MI0002230,"FARMINGTON, CITY OF",OAKLAND,2023,6
MI0002250,"FARWELL, VILLAGE OF",CLARE,2023,3
MI0002260,FENNVILLE,ALLEGAN,2023,5
MI0002270,"FENTON, CITY OF",GENESEE,2023,45
MI0002280,FERNDALE,OAKLAND,2023,501
MI0002300,FLAT ROCK,WAYNE,2023,32
MI0002310,"FLINT, CITY OF",GENESEE,2023,247
MI0002430,"FRANKFORT, CITY OF",BENZIE,2023,9
MI0002480,FREEPORT,BARRY,2023,3
MI0002490,FREMONT,NEWAYGO,2023,16
MI0002550,GARDEN CITY,WAYNE,2023,68
MI0002600,"GAYLORD, CITY OF",OTSEGO,2023,4
MI0002630,GIBRALTAR,WAYNE,2023,1
MI0002640,GLADSTONE,DELTA,2023,11
MI0002750,GRAND HAVEN,OTTAWA,2023,191
MI0002790,GRAND RAPIDS,KENT,2023,2478
MI0002820,GRANDVILLE,KENT,2023,29
MI0002850,GREENVILLE,MONTCALM,2023,40
MI0002870,GROSSE ILE TOWNSHIP,WAYNE,2023,1
MI0002880,"GROSSE POINTE, CITY OF",WAYNE,2023,35
MI0002890,GROSSE POINTE FARMS,WAYNE,2023,14
MI0002900,GROSSE POINTE PARK,WAYNE,2023,7
MI0002920,GROSSE POINTE WOODS,WAYNE,2023,25
MI0002960,HAMPTON TOWNSHIP,BAY,2023,7
MI0002970,HAMTRAMCK,WAYNE,2023,429
MI0003000,"HARBOR BEACH, CITY OF",HURON,2023,3
MI0003020,HARPER WOODS,WAYNE,2023,10
MI0003030,"HARRISON, CITY OF",CLARE,2023,17
MI0003060,HART,OCEANA,2023,7
MI0003070,HARTFORD,VAN BUREN,2023,25
MI0003090,HASTINGS,BARRY,2023,34
MI0003100,HAZEL PARK,OAKLAND,2023,31
MI0003130,HESPERIA,NEWAYGO,2023,7
MI0003140,HIGHLAND PARK,WAYNE,2023,12
MI0003170,HILLSDALE,HILLSDALE,2023,127
MI0003190,HOLLAND BOARD OF PUBLIC WORKS,OTTAWA,2023,118
MI0003280,HUDSON,LENAWEE,2023,3
MI0003360,INKSTER,WAYNE,2023,114
MI0003400,IRON MOUNTAIN,DICKINSON,2023,17
MI0003410,IRON RIVER,IRON,2023,7
MI0003420,IRONWOOD,GOGEBIC,2023,91
MI0003430,IRONWOOD TOWNSHIP,GOGEBIC,2023,1
MI0003460,"ITHACA, CITY OF",GRATIOT,2023,41
MI0003470,JACKSON,JACKSON,2023,186
MI0003490,JONESVILLE,HILLSDALE,2023,27
MI0003520,KALAMAZOO,KALAMAZOO,2023,363
MI0003525,KALAMAZOO LAKE SEWER & WATER AUTHORITY - City of Douglas,ALLEGAN,2023,17
MI0003525,KALAMAZOO LAKE SEWER & WATER AUTHORITY - KLSWA,ALLEGAN,2023,1
MI0003550,"KALEVA, VILLAGE OF",MANISTEE,2023,24
MI0003640,KINGSFORD,DICKINSON,2023,6
MI0003650,"KINGSLEY, VILLAGE OF",GRAND TRAVERSE,2023,214
MI0003700,"LAKE CITY, CITY OF",MISSAUKEE,2023,8
MI0003750,LAKEVIEW,MONTCALM,2023,1
MI0003780,"LAPEER, CITY OF",LAPEER,2023,111
MI0003800,LATHRUP VILLAGE,OAKLAND,2023,3
MI0003830,LAWTON,VAN BUREN,2023,4
MI0003840,"LESLIE, CITY OF",INGHAM,2023,21
MI0003870,LINCOLN PARK,WAYNE,2023,79
MI0003930,LIVONIA,WAYNE,2023,16
MI0003950,LOWELL,KENT,2023,29
