pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0005322   ,"PINCKNEY, VILLAGE OF",0.0,0.0,775.0,0.0,775.0,775.0,complete,False
MI0005330   ,"PINCONNING, CITY OF",2.0,0.0,208.0,429.0,639.0,639.0,complete,False
MI0005335   ,PINCONNING TOWNSHIP,0.0,0.0,612.0,0.0,612.0,612.0,complete,False
MI0005345   ,PINECREST APARTMENTS,0.0,0.0,3.0,0.0,3.0,3.0,complete,False
MI0005349   ,"COTTAGE HS, LLC (PINEVIEW COTTAGE)",0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0005351   ,PINEVIEW HOMES,0.0,0.0,10.0,0.0,10.0,10.0,complete,False
MI0005353   ,PINEHURST APARTMENTS,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0005355   ,PIRATES COVE CONDOMINIUMS,0.0,0.0,19.0,0.0,19.0,19.0,complete,False
MI0005360   ,PITTSFIELD TOWNSHIP,0.0,0.0,7785.0,0.0,7785.0,7785.0,complete,False
MI0005370   ,PLAINFIELD TOWNSHIP,0.0,0.0,12460.0,0.0,12460.0,12460.0,complete,False
MI0005380   ,PLAINWELL,0.0,0.0,1421.0,0.0,1421.0,1421.0,complete,False
MI0005390   ,PLEASANT RIDGE,646.0,0.0,503.0,0.0,1149.0,1149.0,complete,False
MI0005395   ,GREEN BROOK ESTATES,,,,,,0.0,incomplete,False
MI0005397   ,PLUM CREEK SUB,0.0,0.0,45.0,0.0,45.0,45.0,complete,False
MI0005400   ,PLYMOUTH,173.0,109.0,2920.0,414.0,3616.0,3616.0,complete,False
MI0005420   ,PLYMOUTH TOWNSHIP,5.0,6.0,10105.0,0.0,10116.0,10116.0,complete,False
MI0005425   ,POINT NIPIGON RESORT,0.0,0.0,69.0,0.0,69.0,69.0,complete,False
MI0005427   ,POLKTON TOWNSHIP,0.0,0.0,15.0,33.0,48.0,48.0,complete,False
MI0005430   ,POINTE AUX BARQUES TOWNSHIP,0.0,0.0,74.0,0.0,74.0,74.0,complete,False
MI0005440   ,PONTIAC,101.0,1036.0,8759.0,9609.0,19505.0,19505.0,complete,False
MI0005445   ,LAKEVIEW CHALET CONDOMINIUMS,,,,,,0.0,incomplete,False
MI0005450   ,AUBURN HILLS,,,5630.0,,5630.0,5630.0,incomplete,False
MI0005460   ,PORT AUSTIN AREA SEWER & WATER,0.0,0.0,736.0,0.0,736.0,736.0,complete,False
MI0005475   ,PORT HOPE-GORE-RUBICON U. A.,0.0,0.0,612.0,0.0,612.0,612.0,complete,False
MI0005480   ,"PORT HURON, CITY OF",339.0,311.0,2387.0,9323.0,12360.0,12360.0,complete,False
MI0005490   ,PORT HURON TOWNSHIP,1.0,11.0,744.0,380.0,1136.0,1136.0,complete,False
MI0005500   ,"PORT SANILAC, VILLAGE OF",,0.0,448.0,0.0,448.0,448.0,incomplete,False
MI0005520   ,PORTAGE,0.0,0.0,14801.0,0.0,14801.0,14801.0,complete,False
MI0005527   ,PORTAGE POINT INN,0.0,0.0,51.0,0.0,51.0,51.0,complete,False
MI0005530   ,PORTLAND,0.0,359.0,1081.0,268.0,1708.0,1708.0,complete,False
MI0005540   ,PORTSMOUTH TOWNSHIP,0.0,0.0,225.0,0.0,225.0,225.0,complete,False
