pwsid,year,county_for_checking,lines_replaced
MI0004030,2024,MANISTEE,23
MI0004040,2021,SCHOOLCRAFT,12
MI0004040,2022,SCHOOLCRAFT,4
MI0004040,2023,SCHOOLCRAFT,6
MI0004040,2024,SCHOOLCRAFT,7
MI0004050,2022,WEXFORD,1
MI0004050,2023,WEXFORD,5
MI0004050,2024,WEXFORD,3
MI0004070,2023,CASS,126
MI0004070,2024,CASS,223
MI0004090,2021,ST. CLAIR,26
MI0004090,2022,ST. CLAIR,20
MI0004090,2024,ST. CLAIR,6
MI0004100,2021,OSCEOLA,1
MI0004100,2024,OSCEOLA,5
MI0004110,2021,SANILAC,5
MI0004120,2021,MARQUETTE,106
MI0004150,2021,CALHOUN,6
MI0004150,2022,CALHOUN,25
MI0004150,2023,CALHOUN,4
MI0004150,2024,CALHOUN,1
MI0004160,2021,ST. CLAIR,12
MI0004160,2023,ST. CLAIR,4
MI0004160,2024,ST. CLAIR,5
MI0004170,2021,INGHAM,5
MI0004170,2022,INGHAM,27
MI0004170,2023,INGHAM,13
MI0004170,2024,INGHAM,28
MI0004180,2021,TUSCOLA,9
MI0004190,2021,MISSAUKEE,66
MI0004190,2022,MISSAUKEE,60
MI0004220,2021,WAYNE,53
MI0004220,2022,WAYNE,244
MI0004220,2023,WAYNE,407
MI0004220,2024,WAYNE,39
MI0004240,2023,ST. JOSEPH,4
MI0004240,2024,ST. JOSEPH,16
MI0004250,2021,MENOMINEE,35
MI0004250,2022,MENOMINEE,73
MI0004250,2023,MENOMINEE,89
MI0004250,2024,MENOMINEE,74
MI0004360,2021,BARRY,10
MI0004360,2022,BARRY,2
MI0004360,2023,BARRY,6
MI0004360,2024,BARRY,30
MI0004370,2023,MIDLAND,2
MI0004380,2021,WASHTENAW,7
MI0004380,2022,WASHTENAW,14
MI0004380,2023,WASHTENAW,12
MI0004380,2024,WASHTENAW,9
MI0004390,2021,OAKLAND,6
MI0004390,2022,OAKLAND,3
MI0004390,2023,OAKLAND,24
MI0004390,2024,OAKLAND,31
MI0004450,2021,MONROE,120
MI0004450,2022,MONROE,82
MI0004450,2023,MONROE,85
MI0004450,2024,MONROE,52
MI0004470,2021,MUSKEGON,24
MI0004470,2022,MUSKEGON,77
MI0004470,2023,MUSKEGON,46
MI0004470,2024,MUSKEGON,18
MI0004480,2024,GENESEE,7
MI0004490,2021,LENAWEE,2
MI0004490,2024,LENAWEE,65
MI0004510,2021,MACOMB,11
MI0004510,2022,MACOMB,25
MI0004510,2023,MACOMB,13
MI0004510,2024,MACOMB,35
MI0004520,2021,GENESEE,4
MI0004520,2022,GENESEE,5
MI0004520,2023,GENESEE,6
MI0004520,2024,GENESEE,6
MI0004530,2021,ISABELLA,1
MI0004530,2022,ISABELLA,1
MI0004530,2024,ISABELLA,1
MI0004550,2021,IONIA,1
MI0004550,2022,IONIA,182
MI0004560,2021,ALGER,10
MI0004560,2023,ALGER,4
MI0004560,2024,ALGER,8
MI0004570,2021,MUSKEGON,336
MI0004570,2022,MUSKEGON,180
MI0004570,2023,MUSKEGON,446
MI0004570,2024,MUSKEGON,609
MI0004580,2021,MUSKEGON,27
MI0004580,2022,MUSKEGON,46
MI0004580,2023,MUSKEGON,249
MI0004580,2024,MUSKEGON,371
MI0004620,2022,BARRY,99
MI0004620,2023,BARRY,163
MI0004650,2023,MARQUETTE,4
MI0004650,2024,MARQUETTE,5
MI0004670,2021,MACOMB,3
MI0004670,2022,MACOMB,2
MI0004670,2024,MACOMB,2
MI0004700,2022,SHIAWASSEE,4
MI0004710,2021,NEWAYGO,6
MI0004710,2023,NEWAYGO,8
MI0004720,2021,LUCE,5
MI0004720,2022,LUCE,5
MI0004720,2023,LUCE,4
MI0004720,2024,LUCE,2
MI0004740,2021,BERRIEN,14
MI0004740,2022,BERRIEN,17
MI0004740,2023,BERRIEN,33
MI0004740,2024,BERRIEN,26
MI0004780,2021,MUSKEGON,42
MI0004780,2022,MUSKEGON,54
MI0004780,2023,MUSKEGON,22
MI0004780,2024,MUSKEGON,16
MI0004830,2021,WAYNE,5
MI0004830,2022,WAYNE,5
MI0004830,2023,WAYNE,17
MI0004830,2024,WAYNE,3
MI0004850,2021,MUSKEGON,27
MI0004850,2022,MUSKEGON,4
MI0004850,2023,MUSKEGON,20
MI0004850,2024,MUSKEGON,6
MI0004860,2021,DICKINSON,8
MI0004860,2022,DICKINSON,6
MI0004860,2023,DICKINSON,6
MI0004860,2024,DICKINSON,5
MI0004880,2021,OAKLAND,1
MI0004880,2022,OAKLAND,1
MI0004880,2023,OAKLAND,1
