pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0000170,ALPENA TOWNSHIP,ALPENA,5839.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000160,"ALPENA, CITY OF",ALPENA,10483.0,2017-12-31,2.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000160,"ALPENA, CITY OF",ALPENA,10483.0,2019-12-31,1.0,Y,2020-09-30 00:00:00,2019.0,12.0
MI0000160,"ALPENA, CITY OF",ALPENA,10483.0,2022-12-31,0.0,Y,2025-09-30 00:00:00,2022.0,12.0
MI0000180,ALPHA,IRON,198.0,2017-12-31,1.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000180,ALPHA,IRON,198.0,2020-12-31,2.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000180,ALPHA,IRON,198.0,2023-12-31,2.0,Y,2026-09-30 00:00:00,2023.0,12.0
MI0040681,ALTO MEADOWS,KENT,250.0,2018-12-31,0.0,N,2019-09-30 00:00:00,2018.0,12.0
MI0040681,ALTO MEADOWS,KENT,250.0,2019-12-31,0.0,N,2021-09-30 00:00:00,2019.0,12.0
MI0040681,ALTO MEADOWS,KENT,250.0,2021-12-31,1.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0040023,AMBER ESTATES MOBILE HOME PARK,ALLEGAN,125.0,2023-12-31,2.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000215,ANDELINA FARMS,WASHTENAW,156.0,2023-06-30,4.0,N,2024-09-30 00:00:00,2023.0,6.0
MI0000215,ANDELINA FARMS,WASHTENAW,1.0,2022-12-31,11.0,N,2023-06-30 00:00:00,2022.0,12.0
MI0040246,ANDREWS ESTATES,KALAMAZOO,178.0,2017-12-31,1.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040246,ANDREWS ESTATES,KALAMAZOO,178.0,2020-12-31,2.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0040246,ANDREWS ESTATES,KALAMAZOO,178.0,2023-12-31,0.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0040003,ANDREWS MOBILE HOME PARK,ALLEGAN,90.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040003,ANDREWS MOBILE HOME PARK,ALLEGAN,90.0,2020-12-31,3.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000210,ANDREWS UNIVERSITY,BERRIEN,3000.0,2018-12-31,2.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0000210,ANDREWS UNIVERSITY,BERRIEN,3000.0,2021-12-31,0.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000220,ANN ARBOR,WASHTENAW,118017.0,2017-12-31,3.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000220,ANN ARBOR,WASHTENAW,118017.0,2020-12-31,1.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000220,ANN ARBOR,WASHTENAW,118017.0,2023-12-31,2.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2017-12-31,1.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2019-12-31,1.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2021-12-31,3.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2022-12-31,2.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000221,ANN ARBOR TOWNSHIP,WASHTENAW,1338.0,2023-12-31,1.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0040355,APPLE CARR VILLAGE,MUSKEGON,1322.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040355,APPLE CARR VILLAGE,MUSKEGON,1322.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0040355,APPLE CARR VILLAGE,MUSKEGON,1125.0,2023-12-31,1.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0040664,APPLE GROVE ESTATES,KENT,125.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040664,APPLE GROVE ESTATES,KENT,125.0,2020-12-31,1.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0040664,APPLE GROVE ESTATES,KENT,125.0,2023-12-31,2.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0040668,APPLEWOOD,VAN BUREN,75.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0040668,APPLEWOOD,VAN BUREN,75.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0040668,APPLEWOOD,VAN BUREN,75.0,2023-12-31,1.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2018-12-31,3.0,N,2019-09-30 00:00:00,2018.0,12.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2019-09-30,44.0,N,2020-06-30 00:00:00,2019.0,9.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2019-12-31,44.0,N,2020-06-30 00:00:00,2019.0,12.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2020-06-30,2.0,N,2020-12-31 00:00:00,2020.0,6.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2021-06-30,2.0,N,2022-09-30 00:00:00,2021.0,6.0
MI0000236,ARBOR RIDGE CONDOMINIUMS,JACKSON,58.0,2021-12-31,3.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0004778,ARBOR VIEW,BRANCH,25.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0004778,ARBOR VIEW CONDO OWNERS ASSOCIATION,BRANCH,25.0,2017-12-31,0.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0004778,ARBOR VIEW CONDO OWNERS ASSOCIATION,BRANCH,25.0,2019-12-31,0.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2018-12-31,0.0,N,2019-09-30 00:00:00,2018.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2020-06-30,0.0,N,2020-12-31 00:00:00,2020.0,6.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2021-06-30,1.0,N,2021-09-30 00:00:00,2021.0,6.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2021-12-31,3.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2022-12-31,3.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2023-06-30,8.0,N,2023-12-31 00:00:00,2023.0,6.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2023-12-31,1.0,N,2024-06-30 00:00:00,2023.0,12.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2024-06-30,5.0,N,2024-12-31 00:00:00,2024.0,6.0
MI0040223,ARBOR VILLAGE,JACKSON,670.0,2022-12-31,3.0,N,2023-06-30 00:00:00,2022.0,12.0
MI0066355,ARGENTINE CARE CENTER,GENESEE,60.0,2017-12-31,4.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0066355,ARGENTINE CARE CENTER,GENESEE,60.0,2020-12-31,4.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0066355,ARGENTINE CARE CENTER,GENESEE,60.0,2022-12-31,9.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0066355,ARGENTINE CARE CENTER,GENESEE,60.0,2023-12-31,3.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0040356,ARLINGTON WOODS,MUSKEGON,1650.0,2018-12-31,0.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0040356,ARLINGTON WOODS,MUSKEGON,1650.0,2021-12-31,0.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000240,"ARMADA, VILLAGE OF",MACOMB,1463.0,2018-12-31,3.0,N,2021-09-30 00:00:00,2018.0,12.0
